drug1_id,drug2_id,level
6136,147,Moderate
179,147,Moderate
1371,147,Moderate
4829,147,Moderate
5423,147,Moderate
483,147,Moderate
4752,147,Minor
1317,147,Moderate
1323,608,Major
111,608,Moderate
608,4223,Major
608,471,Moderate
608,8571,Major
775,22,Moderate
1253,775,Minor
775,228,Moderate
775,1888,Moderate
775,178,Moderate
775,4406,Moderate
111,775,Moderate
775,266,Moderate
3536,775,Moderate
139,775,Moderate
4222,775,Moderate
261,775,Moderate
7690,775,Moderate
775,211,Moderate
775,720,Moderate
775,313,Moderate
1323,9353,Minor
1323,458,Moderate
1323,3037,Minor
1323,4455,Minor
1323,9320,Moderate
1323,2260,Moderate
1323,10377,Moderate
1323,4808,Moderate
1323,6671,Minor
1323,7900,Minor
2186,1323,Minor
1323,7195,Moderate
1323,7738,Moderate
1323,5678,Moderate
1323,10254,Moderate
1323,2149,Minor
1323,440,Minor
1323,511,Minor
1323,3129,Moderate
1323,1834,Moderate
1323,1289,Moderate
1323,1311,Minor
1323,7086,Minor
1323,3783,Moderate
1323,3800,Moderate
1323,3513,Moderate
1323,9155,Minor
1323,3327,Moderate
1323,3398,Minor
1323,10205,Moderate
1323,4963,Moderate
1323,1270,Moderate
1323,1305,Moderate
1323,7814,Moderate
1323,191,Minor
1323,2119,Moderate
1323,972,Minor
1323,1371,Moderate
5423,1323,Minor
1323,4553,Major
1323,483,Minor
1323,1317,Moderate
4632,3537,Moderate
3537,477,Moderate
3537,208,Minor
3537,568,Moderate
3537,4406,Moderate
111,3537,Moderate
3537,184,Moderate
3537,1221,Moderate
3759,3537,Moderate
139,3537,Moderate
3537,471,Moderate
3537,261,Moderate
3537,621,Minor
3537,1270,Moderate
3537,1303,Moderate
3537,3327,Moderate
3537,5617,Moderate
3537,2615,Moderate
3537,720,Moderate
3537,5032,Moderate
3537,491,Moderate
3537,4404,Moderate
3759,1315,Moderate
1315,5032,Moderate
5797,1315,Moderate
4632,1026,Moderate
1026,477,Moderate
1026,1018,Moderate
9320,1026,Moderate
1026,2260,Moderate
1026,10377,Moderate
1026,228,Moderate
208,1026,Moderate
1026,179,Moderate
2361,1026,Moderate
1026,568,Moderate
1026,6816,Moderate
1026,178,Moderate
184,1026,Moderate
1311,1026,Minor
139,1026,Moderate
2211,1026,Moderate
15,1026,Minor
1026,211,Minor
5617,1026,Moderate
2615,1026,Moderate
1026,486,Minor
720,1026,Moderate
1026,22,Moderate
903,1026,Moderate
491,1026,Moderate
1350,179,Moderate
1350,217,Moderate
1350,1221,Moderate
1350,7061,Moderate
3650,1350,Moderate
3698,1018,Major
3698,1267,Moderate
3698,4756,Minor
4756,22,Moderate
4756,9353,Moderate
4756,1527,Moderate
1233,4756,Moderate
1457,4756,Moderate
4638,4756,Moderate
4435,4756,Moderate
4756,2588,Moderate
4756,228,Moderate
7226,4756,Major
4756,125,Major
578,4756,Moderate
4756,224,Major
7899,4756,Moderate
3939,4756,Moderate
4756,1387,Moderate
4756,1888,Minor
4756,7195,Moderate
4756,5050,Major
4814,4756,Moderate
1514,4756,Moderate
4756,178,Moderate
3926,4756,Moderate
4756,7738,Major
6990,4756,Moderate
4756,4406,Moderate
111,4756,Moderate
3934,4756,Moderate
4756,842,Moderate
3927,4756,Major
4756,422,Minor
2083,4756,Minor
4756,3485,Moderate
4756,6627,Moderate
8297,4756,Moderate
4756,266,Minor
3117,4756,Minor
4756,3129,Minor
3536,4756,Moderate
139,4756,Moderate
4756,9526,Moderate
4222,4756,Moderate
4756,3998,Moderate
4756,261,Moderate
4756,543,Moderate
5530,4756,Major
4612,4756,Moderate
7093,4756,Moderate
4756,6636,Moderate
4756,3933,Moderate
7690,4756,Moderate
4756,211,Moderate
4756,8666,Moderate
6632,4756,Major
4756,3910,Moderate
4756,4756,Moderate
4756,454,Minor
4756,720,Minor
4756,7639,Moderate
4756,3510,Minor
4756,313,Moderate
5631,4756,Major
8036,4756,Moderate
2213,4756,Moderate
7029,4756,Moderate
4632,564,Moderate
564,477,Moderate
208,564,Minor
564,568,Moderate
564,4406,Moderate
111,564,Moderate
184,564,Moderate
564,1221,Moderate
564,1289,Minor
3759,564,Moderate
139,564,Moderate
471,564,Moderate
261,564,Moderate
621,564,Minor
564,1270,Moderate
1303,564,Moderate
564,3327,Moderate
5617,564,Moderate
2615,564,Moderate
720,564,Moderate
5032,564,Moderate
491,564,Moderate
4404,564,Minor
179,5812,Moderate
568,5812,Moderate
5812,6816,Moderate
471,5812,Moderate
486,5812,Minor
684,228,Moderate
2361,684,Moderate
684,4406,Minor
684,266,Minor
684,261,Moderate
684,486,Minor
684,211,Moderate
684,675,Minor
684,22,Moderate
684,313,Moderate
184,22,Moderate
9353,184,Moderate
184,7468,Major
690,184,Moderate
10279,184,Moderate
184,3975,Minor
184,8675,Major
1233,184,Moderate
4638,184,Moderate
4435,184,Moderate
4755,184,Moderate
184,4839,Moderate
184,1018,Major
184,2260,Minor
184,228,Moderate
184,7296,Moderate
4808,184,Moderate
7226,184,Moderate
184,125,Moderate
623,184,Moderate
184,6671,Moderate
578,184,Moderate
7900,184,Moderate
184,4199,Moderate
1298,184,Major
6166,184,Moderate
3057,184,Major
184,179,Moderate
184,5824,Moderate
7459,184,Moderate
9467,184,Moderate
2186,184,Moderate
184,2247,Moderate
184,5812,Moderate
184,1388,Moderate
3939,184,Minor
189,184,Moderate
184,7195,Moderate
7212,184,Moderate
1488,184,Moderate
4814,184,Major
184,178,Moderate
2241,184,Moderate
5570,184,Moderate
184,8285,Moderate
4731,184,Moderate
184,9180,Moderate
184,4406,Moderate
184,1933,Moderate
9137,184,Moderate
984,184,Moderate
4361,184,Moderate
10181,184,Moderate
184,10254,Moderate
2149,184,Moderate
184,9108,Major
111,184,Moderate
184,440,Moderate
3934,184,Moderate
184,1980,Minor
184,7204,Moderate
302,184,Moderate
184,422,Minor
184,511,Moderate
7810,184,Moderate
184,4705,Major
184,2326,Major
184,4557,Moderate
184,497,Moderate
184,6960,Moderate
2083,184,Moderate
184,4998,Moderate
184,2305,Moderate
184,692,Moderate
184,1221,Major
184,266,Minor
184,2632,Major
199,184,Moderate
184,1289,Moderate
1311,184,Moderate
184,6375,Moderate
184,173,Moderate
139,184,Moderate
3783,184,Moderate
184,504,Minor
4222,184,Moderate
3265,184,Moderate
3981,184,Major
479,184,Moderate
184,530,Minor
184,527,Moderate
261,184,Moderate
184,543,Moderate
184,205,Moderate
1604,184,Moderate
996,184,Minor
490,184,Moderate
184,7073,Major
184,192,Major
1250,184,Moderate
184,8666,Moderate
184,5597,Moderate
184,6636,Moderate
184,211,Moderate
537,184,Moderate
184,7501,Moderate
5206,184,Moderate
6632,184,Moderate
1475,184,Moderate
184,4756,Minor
2025,184,Moderate
184,10205,Moderate
184,720,Moderate
184,3398,Moderate
842,184,Moderate
729,184,Moderate
184,5224,Minor
184,7639,Minor
184,2210,Moderate
184,313,Moderate
184,1270,Minor
191,184,Moderate
7798,184,Moderate
184,6136,Moderate
184,298,Moderate
184,8446,Moderate
1371,184,Moderate
6350,184,Minor
184,1307,Major
5423,184,Moderate
184,483,Moderate
184,3479,Major
581,184,Moderate
6690,184,Moderate
4752,184,Moderate
1317,184,Moderate
7029,184,Major
198,179,Minor
198,2211,Minor
211,198,Moderate
208,6302,Minor
6302,568,Minor
9320,1249,Moderate
1249,2260,Moderate
208,1249,Minor
1249,1834,Moderate
1249,1289,Moderate
1249,1311,Moderate
1249,3349,Moderate
621,1249,Minor
2119,1249,Moderate
2871,5,Major
5,4808,Moderate
5,6671,Moderate
5,7900,Moderate
5,208,Minor
5,7195,Moderate
5,1757,Major
5,2575,Major
5,10254,Moderate
5,511,Moderate
5,1834,Moderate
5,1289,Moderate
5,1311,Moderate
5,2171,Minor
5,8666,Moderate
5,7041,Major
5,3398,Moderate
5,5294,Moderate
5,972,Moderate
5,483,Moderate
10181,22,Moderate
4632,10181,Moderate
10181,477,Moderate
10181,228,Moderate
10181,178,Moderate
10181,1270,Major
10254,22,Moderate
4632,10254,Moderate
2871,10254,Minor
10254,228,Moderate
208,10254,Moderate
179,10254,Moderate
10254,6816,Major
10254,178,Moderate
2149,22,Moderate
10279,2149,Moderate
7869,2149,Moderate
4632,2149,Moderate
2149,228,Moderate
2149,788,Moderate
2149,178,Moderate
208,17,Minor
208,3917,Moderate
3917,179,Moderate
3917,6816,Moderate
10279,1266,Moderate
2575,208,Minor
2575,179,Moderate
2575,788,Minor
6989,5998,Moderate
9108,22,Moderate
4632,9108,Major
9320,9108,Moderate
9108,228,Moderate
208,9108,Minor
9108,179,Moderate
9108,178,Moderate
4430,1018,Moderate
4430,228,Moderate
4430,208,Minor
4430,179,Moderate
2361,4430,Moderate
4430,178,Moderate
4430,440,Moderate
4430,217,Moderate
4430,1221,Moderate
4430,1289,Moderate
4430,2636,Minor
4430,2211,Moderate
4430,7061,Moderate
4430,3650,Moderate
4430,7501,Moderate
6671,22,Moderate
10279,6671,Moderate
7869,6671,Moderate
4632,6671,Moderate
6671,1018,Moderate
2871,6671,Moderate
9320,6671,Moderate
6671,2260,Moderate
6671,10377,Moderate
6671,228,Moderate
6671,568,Moderate
6671,788,Moderate
6671,178,Moderate
520,6671,Moderate
6671,4406,Moderate
111,6671,Minor
6671,440,Moderate
6671,266,Minor
6671,1289,Moderate
139,6671,Moderate
4222,6671,Moderate
6671,4223,Minor
261,6671,Moderate
15,6671,Moderate
2300,6671,Moderate
6671,211,Moderate
6671,7501,Moderate
5617,6671,Moderate
2615,6671,Moderate
720,6671,Minor
6671,313,Moderate
8571,6671,Minor
491,6671,Moderate
5797,6671,Minor
5306,1018,Moderate
5306,455,Moderate
775,3327,Moderate
6823,458,Minor
2119,6823,Moderate
1527,22,Moderate
4632,22,Moderate
4694,22,Moderate
22,2588,Moderate
7296,22,Moderate
578,22,Moderate
7900,22,Moderate
22,3876,Moderate
1298,22,Moderate
179,22,Moderate
7899,22,Moderate
9467,22,Moderate
22,2247,Moderate
22,1353,Moderate
568,22,Moderate
1888,22,Moderate
1458,22,Moderate
1484,22,Moderate
5822,22,Moderate
2241,22,Moderate
1267,22,Moderate
9180,22,Moderate
111,22,Moderate
842,22,Moderate
422,22,Moderate
511,22,Moderate
7810,22,Moderate
1221,22,Moderate
8297,22,Moderate
22,3129,Moderate
2632,22,Moderate
3536,22,Moderate
9524,22,Moderate
617,22,Moderate
7690,22,Moderate
999,22,Moderate
3981,22,Moderate
261,22,Moderate
1000,22,Moderate
1019,22,Moderate
685,22,Moderate
7073,22,Moderate
192,22,Moderate
4612,22,Moderate
2171,22,Moderate
6636,22,Moderate
10218,22,Moderate
3933,22,Moderate
5617,22,Moderate
2615,22,Moderate
3050,22,Moderate
3910,22,Moderate
2025,22,Moderate
720,22,Moderate
729,22,Moderate
7639,22,Moderate
2210,22,Moderate
2119,22,Moderate
6136,22,Moderate
22,8446,Moderate
5423,22,Moderate
491,22,Moderate
483,22,Moderate
7029,22,Moderate
4319,139,Minor
139,9353,Moderate
139,1527,Moderate
139,4632,Moderate
4694,139,Moderate
139,2588,Moderate
139,4839,Moderate
139,7296,Moderate
139,623,Moderate
139,3750,Moderate
139,578,Moderate
7900,139,Minor
139,3876,Moderate
139,208,Moderate
139,1298,Moderate
139,179,Moderate
139,7899,Moderate
9467,139,Moderate
139,2247,Moderate
139,1353,Moderate
139,568,Moderate
83,139,Major
139,189,Moderate
139,1888,Moderate
139,7195,Moderate
139,1458,Moderate
139,2241,Moderate
139,5615,Moderate
139,177,Moderate
139,1267,Moderate
139,2575,Moderate
139,9180,Moderate
684,139,Moderate
139,9137,Moderate
139,4361,Moderate
139,10254,Moderate
139,2149,Moderate
139,9108,Major
111,139,Minor
139,842,Moderate
139,422,Moderate
139,511,Moderate
7810,139,Moderate
139,1703,Major
139,4705,Major
139,2326,Major
139,6015,Major
139,5973,Major
139,497,Minor
139,2031,Minor
139,1221,Moderate
139,8297,Moderate
139,3129,Moderate
139,2632,Moderate
139,6375,Moderate
139,9524,Moderate
139,617,Moderate
139,173,Moderate
139,379,Minor
139,7690,Moderate
139,999,Moderate
3981,139,Moderate
139,479,Moderate
139,527,Moderate
139,261,Minor
139,7073,Moderate
139,192,Moderate
139,4612,Moderate
139,2171,Moderate
139,6636,Moderate
139,9174,Moderate
139,10218,Moderate
139,3933,Moderate
139,537,Moderate
139,5617,Moderate
139,2615,Moderate
139,3050,Minor
139,3910,Moderate
139,720,Minor
139,3398,Moderate
139,729,Moderate
139,2210,Moderate
139,191,Moderate
139,7798,Moderate
139,6136,Moderate
139,8446,Moderate
4741,139,Moderate
139,491,Moderate
139,8799,Minor
5797,139,Moderate
139,4404,Moderate
139,6690,Moderate
139,1317,Moderate
7029,139,Moderate
139,7047,Moderate
4319,211,Minor
211,1527,Moderate
211,3975,Minor
4694,211,Moderate
4755,211,Moderate
211,2588,Moderate
4808,211,Moderate
578,211,Moderate
211,3876,Moderate
1298,211,Moderate
211,179,Moderate
222,211,Major
7899,211,Moderate
211,2247,Moderate
211,1388,Moderate
211,1353,Moderate
211,568,Moderate
1888,211,Moderate
7212,211,Moderate
1458,211,Moderate
6669,211,Moderate
4731,211,Moderate
9180,211,Moderate
211,10254,Moderate
2149,211,Moderate
9108,211,Major
211,6989,Moderate
211,842,Moderate
302,211,Moderate
211,422,Moderate
211,497,Minor
6960,211,Moderate
211,4998,Moderate
2305,211,Major
211,1221,Moderate
8297,211,Moderate
211,3129,Moderate
2632,211,Moderate
3536,211,Moderate
617,211,Moderate
211,7690,Moderate
3783,211,Moderate
999,211,Moderate
3981,211,Moderate
471,211,Moderate
211,205,Moderate
685,211,Moderate
7073,211,Moderate
211,192,Moderate
8666,211,Moderate
211,6636,Moderate
10218,211,Moderate
3933,211,Moderate
2615,211,Moderate
36,211,Moderate
3050,211,Moderate
211,3910,Moderate
720,211,Moderate
3398,211,Moderate
2210,211,Moderate
2119,211,Moderate
6136,211,Moderate
211,8446,Moderate
4741,211,Moderate
211,5996,Moderate
8799,211,Moderate
211,211,Moderate
4752,211,Moderate
7029,211,Moderate
9180,458,Moderate
4632,9180,Moderate
9180,477,Moderate
9180,228,Moderate
9180,5998,Moderate
208,9180,Minor
9180,179,Moderate
2361,9180,Moderate
9180,568,Moderate
9180,178,Moderate
9180,4406,Moderate
111,9180,Moderate
9180,266,Minor
9180,2636,Moderate
9180,2211,Moderate
4222,9180,Moderate
261,9180,Moderate
9180,3349,Moderate
9180,5617,Moderate
2615,9180,Moderate
9180,720,Minor
9180,313,Moderate
9180,5032,Moderate
9180,8737,Moderate
491,9180,Moderate
4404,9180,Moderate
9931,3650,Moderate
208,3650,Moderate
1298,3650,Moderate
3650,179,Moderate
3650,1388,Moderate
4731,3650,Moderate
9108,3650,Moderate
3650,7204,Minor
7810,3650,Moderate
3650,497,Moderate
3650,6960,Moderate
3650,2211,Moderate
3650,205,Moderate
3650,3391,Moderate
729,3650,Moderate
3650,2305,Moderate
6350,3650,Moderate
4752,3650,Moderate
6724,4632,Minor
6724,1018,Moderate
6724,2260,Minor
6724,208,Moderate
6724,179,Minor
2361,6724,Moderate
6724,568,Minor
6724,6816,Moderate
6724,1834,Minor
6724,1289,Minor
6724,455,Moderate
6724,2211,Moderate
15,6724,Moderate
6724,5617,Minor
6724,2615,Minor
211,6724,Moderate
7256,228,Moderate
7256,178,Moderate
7644,7256,Moderate
3923,10279,Minor
10279,7468,Major
10279,9353,Moderate
10279,8675,Major
7869,10279,Moderate
4632,10279,Moderate
578,10279,Moderate
7900,10279,Moderate
6166,10279,Moderate
2361,10279,Minor
2186,10279,Minor
10279,1388,Major
10279,1353,Moderate
10279,568,Minor
10279,788,Moderate
83,10279,Major
10279,7195,Moderate
4814,10279,Major
177,10279,Moderate
10279,520,Moderate
10279,1249,Moderate
10279,4406,Moderate
984,10279,Moderate
3934,10279,Moderate
10279,1532,Moderate
10279,511,Moderate
10279,1703,Major
10279,4705,Major
10279,2326,Major
10279,6015,Major
10279,5973,Major
10279,497,Minor
10279,6960,Moderate
3759,10279,Moderate
3783,10279,Moderate
10279,999,Moderate
10279,2211,Minor
10279,3349,Minor
15,10279,Moderate
917,10279,Moderate
10279,6636,Moderate
2300,10279,Moderate
9174,10279,Moderate
10279,10218,Moderate
10279,5617,Moderate
2615,10279,Moderate
10279,10205,Moderate
10279,842,Moderate
10279,2210,Major
10279,5032,Moderate
10279,6136,Major
10279,8446,Major
10279,4829,Minor
5423,10279,Moderate
491,10279,Minor
10279,483,Moderate
10279,4481,Moderate
4404,10279,Moderate
4752,10279,Moderate
7029,10279,Major
1320,10279,Moderate
4794,228,Moderate
179,4794,Minor
4794,6816,Moderate
4794,178,Moderate
2211,4794,Minor
471,4794,Moderate
15,4794,Minor
3923,788,Moderate
3923,520,Moderate
3923,4406,Moderate
3923,1311,Major
3923,7086,Major
3759,3923,Moderate
3923,3349,Moderate
15,3923,Moderate
2300,3923,Moderate
3923,5032,Moderate
3923,4404,Moderate
9353,458,Minor
4632,9353,Moderate
